artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
readme,README.md,measurement_template,concept,concept_only,,none,false,"L2 planning overview only; no fabrication authority."
design,design.md,measurement_template,concept,concept_only,,none,false,"Mechanism and risk map grounded in Cristal Baschet mechanics; no released dimensions tuning values or geometry."
bom,bom.csv,design_table,concept,pending_measurement,design.md,none,false,"Estimated subsystem list only; every physical part requires review and measurement before fabrication."
cut-list,cut-list.csv,design_table,planning,pending_measurement,design.md,none,false,"Non-dimensional workpiece categories only; no released sizes counts coordinates or cut authority."
decision-record,decision-record.md,measurement_template,story,concept_only,design.md,none,false,"Captures decisions assumptions and open questions for future review."
mcp-session-log,cad/mcp-session-log.md,measurement_template,build_log,concept_only,,none,false,"Records QMD Step 0 provenance and absence of MCP/CAD authoring."
future-cad,cad/,cad,concept,pending_measurement,design.md,none,false,"Dimensioned rod/stem/resonator CAD reserved for after measured or reviewed parameters exist; see CAD-001 for the non-dimensional envelope authored 2026-07-01."
wolfram-starter,cristal-baschet-starter.wl,design_table,design_table,reference_only,wolfram/cristal-baschet-wolfram-model.wl,none,false,"Thin Wolfram loader; source code only and not fabrication authority."
wolfram-model,wolfram/cristal-baschet-wolfram-model.wl,design_table,design_table,reference_only,README.md,none,false,"Parametric symbolic glass rod, stem-mass, and radiator-coupling model with estimate placeholders only; pending measurement and not fabrication authority."
sourcing,sourcing.csv,design_table,sourcing,pending_measurement,design.md,none,false,"V5 baseline scaffold; every item is TBD pending a one-rod coupon test defining specs."
validation,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"V5 baseline scaffold; measurement gates from design.md First Measurement Gates, all measured/result cells TBD."
risks,risks.md,measurement_template,concept,concept_only,design.md,none,false,"V5 baseline scaffold naming glass/whisker safety and no-design-table risks."
drawing-brief,drawing-brief.md,drawing,drawing_stub,pending_measurement,design.md,placeholder,false,"V5 baseline scaffold; no dimensioned drawings exist yet, all gated on coupon-test evidence."
CAD-001,cad/cristal-baschet.scad,cad_source,cad_authoring,pending_measurement,design.md,assumption,false,"Non-dimensional frame/rod-array bounding envelope (bench-planning layout only). Renders clean in OpenSCAD. Rod friction tuning, stem thread geometry, mass position, and resonator geometry explicitly out of scope. Not fabrication authority until reviewed against a measured reference or design table."
